id,text
sp_001,"Pulled the splits from the last five editions. The winning time has moved by 40 seconds total in ten years, but the 100th-place time is four minutes faster. The depth changed, the front didn't."
sp_002,"I tracked sleep against session quality for eleven weeks. Under seven hours the next day's intervals were 6-8 seconds per mile slower, every time bar one. Small sample, one runner, but it's consistent enough that I've stopped scheduling hard days after late shifts."
sp_003,"The club championship scoring changed in 2019 from top-6 to top-10. Since then our B team has finished above the A team twice. That's not depth improving, it's the scoring rewarding turnout."
sp_004,"Everyone blames the hill at 18 miles. I split the field into people who ran the first half under 1:45 and over, and the slowdown after 18 was almost identical for both groups. If the hill were the problem the fast starters would fall apart harder."
sp_005,"Carbon plates aren't the whole story. My times dropped 2% in the shoes and another 2% the following year in the same pair, when the only thing that changed was going from 35 to 50 miles a week."
sp_006,"Checked the entry lists. 41% of this year's field have never run the distance before, against 26% five years ago. That's why the finish-line photos look different, not because standards dropped."
sp_007,"Ran the same loop in 4C and in 24C within a fortnight, same effort by heart rate. 90 seconds slower in the heat over six miles. People keep saying heat costs you 'a bit' and it's more than that."
sp_008,"Went back through the club results going back to 2012. Every single year the number of people who enter the spring marathon and don't start it sits between 18 and 23 percent. It's not a bad-luck year, it's the base rate."
sp_009,"The 10K route was remeasured in 2021 and came out 60 metres long. Everyone comparing PBs from before and after that is comparing two different races, which is about 12 seconds at club pace."
sp_010,"Three of us ran the same session on the same day, different shoes, within 10 seconds of each other over 5 miles. I'm not saying shoes do nothing, but whatever they do was smaller than the noise between three people."
sp_011,"Anyone who races more than once a month isn't training, they're just collecting medals."
sp_012,Heart rate zones are astrology for runners.
sp_013,The club needs to stop pretending the Tuesday session is for everyone. It isn't and it never has been.
sp_014,"Times are down about 3% since the shoe rules changed, so obviously the shoes are the whole story and the sport has a problem."
sp_015,Marathon training plans are all the same plan with different fonts.
sp_016,"If you need a gel before 90 minutes you have a fuelling problem, not an energy problem."
sp_017,Road racing peaked in about 2015 and everything since has been marketing.
sp_018,Track sessions are wasted on anyone running slower than 8 minute miles. You'd get more out of just running more.
sp_019,"Nobody actually enjoys the long run. They enjoy having done it, which is a completely different thing, and the sport would be more honest if it said so."
sp_020,Every injury thread on this forum is the same injury and the same three replies.
sp_021,Four minutes off. FOUR. I've been chasing that time for two years and I'm sat on the kerb outside the finish just grinning at nothing.
sp_022,"Got up at 5, drove ninety minutes, and it's cancelled. Standing in the car park in the rain reading the email."
sp_023,"First run back after eight weeks out. Two miles, slower than my warm-up used to be, and I don't care even slightly."
sp_024,Watching the last 400 of that and I had to stand up. Still standing up actually.
sp_025,Blew up at 20 with the pace band still in my hand like it was going to help. Rough one.
sp_026,Someone handed my kid an orange slice at mile 22 and I have been crying on and off since.
sp_027,Wind was so bad on the out section I was leaning at about 20 degrees. Coming back felt like cheating.
sp_028,"Third DNF this year. I don't really want to talk about it, just wanted to put it somewhere."
sp_029,Just realised the shoes I set every PB in this year are the ones I bought by accident in the wrong size.
sp_030,"Signed up. Card's charged, no going back, immediately regret everything."
