id,text
cal_01,"Booked the ferry, booked the hotel, and have just noticed the race is the following weekend."
cal_02,"Compared the two club 10Ks over five years. Ours is 40 seconds slower on median and 90 seconds slower on the winning time. Same runners, mostly — it's the course, not the field."
cal_03,Anyone who says they enjoy hill reps is either lying or has never done them properly.
cal_04,Entries are down 30% and the committee wants to know why. It's the price. It has been the price for three years.
cal_05,Never felt better at 10 miles and never felt worse at 13. Marathon in three weeks and I have no idea what to think.
cal_06,"The couch to 5K completion rate here is about 20%, which is roughly what it is nationally, so the programme isn't the problem — the follow-on is. We have nothing for week 10."
cal_07,Running in the dark is the best part of winter and I will not be taking questions.
cal_08,Ran my fastest ever parkrun on four hours' sleep after a night shift. Everything I think I know is wrong.
cal_09,Half the club's PBs were set on the same downhill course and we all know it and nobody says it.
cal_10,Got my club vest today. Wore it to the shop. No regrets.
