text,label,note
"Everyone says the new course is faster but the results don't show it. Median finish was 3:58 last year on the old route and 3:56 this year. Two minutes across 4,000 runners is noise, not a faster course.",analysis,provided practice data
"Looked at my last three build-ups. The one where I capped long runs at 2 hours had my best race by 4 minutes, despite the lowest weekly mileage of the three. Time on feet past 2 hours was costing me the next four days.",analysis,provided practice data
"The 10% rule doesn't survive contact with actual training logs. I went from 30 to 50 miles a week over six weeks last autumn with no issues, and got injured the year before going up 8% a week. Consistency mattered more than the increment.",analysis,provided practice data
"Checked the splits from the top 20 finishers. Eighteen of them ran the second half slower, average positive split of 3:40. On a course billed as net downhill. Something about the back section is harder than the elevation profile suggests.",analysis,provided practice data
"Carbon plates gave me about 2% on paper and roughly nothing in races. Three time trials in each shoe on the same loop, same month: 19:42/19:38/19:51 in the plates, 19:47/19:55/19:44 in the trainers. The overlap is bigger than the gap.",analysis,provided practice data
"My heart rate drift over 90 minutes dropped from 11% to 4% across a year of easy running with no change in pace. That's the aerobic base people talk about, and it took eleven months to show up in the numbers.",analysis,provided practice data
Six of the last eight course records here were set in years when race-day temperature was under 10C. The two exceptions were both years with a strong tailwind on the back half. Weather explains more of the record book than the field does.,analysis,provided practice data
"Ran the same 5k route weekly for a year, 47 runs. The variance by day of week was larger than my improvement over the middle six months. Tuesday runs averaged 22 seconds faster than Saturday ones, and I think it's just that Saturdays followed long runs.",analysis,provided practice data
"The entry fee went from 45 to 72 over four years. Field size went from 3,200 to 3,400. Whatever the extra 27 is paying for, it isn't capacity.",analysis,provided practice data
"Went back through my logs for every race where I hit my goal. All four had a three-week taper. The two where I tapered for ten days I missed by over two minutes. Small sample, but it's the only variable that lines up.",analysis,provided practice data
The women's field here has grown 60% in five years while the men's is flat. That's the actual story of this race and nobody writes about it.,analysis,provided practice data
"Tried the low-carb approach for eight weeks. Easy pace at the same heart rate dropped by 15 seconds a mile and never came back until I reintroduced carbohydrate. Whatever it does for fat oxidation, it cost me aerobic pace.",analysis,provided practice data
